order_id,customer_id,order_date
1,1,2026-01-01
2,2,2026-01-02
3,3,2026-01-03
4,4,2026-01-04
5,5,2026-01-05
6,6,2026-01-06
7,7,2026-01-07
8,8,2026-01-08
9,9,2026-01-09
10,10,2026-01-10
11,11,2026-01-11
12,12,2026-01-12
13,13,2026-01-13
14,14,2026-01-14
15,15,2026-01-15
16,16,2026-01-16
17,17,2026-01-17
18,18,2026-01-18
19,19,2026-01-19
20,20,2026-01-20
21,21,2026-01-21
22,22,2026-01-22
23,23,2026-01-23
24,24,2026-01-24
25,25,2026-01-25
26,26,2026-01-26
27,27,2026-01-27
28,28,2026-01-28
29,29,2026-02-01
30,30,2026-02-02
31,31,2026-02-03
32,32,2026-02-04
33,33,2026-02-05
34,34,2026-02-06
35,35,2026-02-07
36,36,2026-02-08
37,37,2026-02-09
38,38,2026-02-10
39,39,2026-02-11
40,40,2026-02-12
41,41,2026-02-13
42,42,2026-02-14
43,43,2026-02-15
44,44,2026-02-16
45,45,2026-02-17
46,46,2026-02-18
47,47,2026-02-19
48,48,2026-02-20
49,49,2026-02-21
50,50,2026-02-22
51,51,2026-02-23
52,52,2026-02-24
53,53,2026-02-25
54,54,2026-02-26
55,55,2026-02-27
56,56,2026-02-28
57,57,2026-03-01
58,58,2026-03-02
59,59,2026-03-03
60,60,2026-03-04
61,61,2026-03-05
62,62,2026-03-06
63,63,2026-03-07
64,64,2026-03-08
65,65,2026-03-09
66,66,2026-03-10
67,67,2026-03-11
68,68,2026-03-12
69,69,2026-03-13
70,70,2026-03-14
71,71,2026-03-15
72,72,2026-03-16
73,73,2026-03-17
74,74,2026-03-18
75,75,2026-03-19
76,76,2026-03-20
77,77,2026-03-21
78,78,2026-03-22
79,79,2026-03-23
80,80,2026-03-24
81,81,2026-03-25
82,82,2026-03-26
83,83,2026-03-27
84,84,2026-03-28
85,85,2026-04-01
86,86,2026-04-02
87,87,2026-04-03
88,88,2026-04-04
89,89,2026-04-05
90,90,2026-04-06
91,91,2026-04-07
92,92,2026-04-08
93,93,2026-04-09
94,94,2026-04-10
95,95,2026-04-11
96,96,2026-04-12
97,97,2026-04-13
98,98,2026-04-14
99,99,2026-04-15
100,100,2026-04-16
